,antecedents,consequents,support,confidence,lift,department
23,chips pretzels,nuts seeds dried fruit,0.0450642540194779,0.11538348039071032,0.6239481256528502,snacks
22,nuts seeds dried fruit,chips pretzels,0.0450642540194779,0.24368962293549395,0.6239481256528502,snacks
33,cookies cakes,nuts seeds dried fruit,0.0162046908315565,0.11770615320217662,0.6365082195442103,snacks
32,nuts seeds dried fruit,cookies cakes,0.0162046908315565,0.08762854471798068,0.6365082195442103,snacks
4,crackers,candy chocolate,0.0297470178067193,0.1122466730451422,0.7026248168791402,snacks
32,spreads,spices seasonings,0.015681422549597895,0.06970646543454627,0.4644135632981766,pantry
33,spices seasonings,spreads,0.015681422549597895,0.10447618134764691,0.4644135632981767,pantry
29,oils vinegars,spreads,0.0218676718122833,0.11284335560504825,0.5016070093209246,pantry
28,spreads,oils vinegars,0.0218676718122833,0.09720534629404616,0.5016070093209246,pantry
6,baking ingredients,pickled goods olives,0.010818742896603317,0.04906374372023226,0.5391039775924161,pantry
28,water seltzer sparkling water,refrigerated,0.07069422828207544,0.16709411673272712,0.5686859527924707,beverages
29,refrigerated,water seltzer sparkling water,0.07069422828207544,0.24059982094897042,0.5686859527924708,beverages
24,soft drinks,refrigerated,0.032146693263771675,0.1679647233993815,0.5716489642462238,beverages
25,refrigerated,soft drinks,0.032146693263771675,0.10940763951059385,0.5716489642462239,beverages
1,coffee,juice nectars,0.013985400819833842,0.1146451033243486,0.5850433434256344,beverages
35,frozen produce,ice cream ice,0.04485348134846135,0.13448360254527655,0.44726050532499767,frozen
34,ice cream ice,frozen produce,0.04485348134846135,0.14917202063161705,0.44726050532499767,frozen
29,frozen produce,frozen pizza,0.020896253367072074,0.06265296133137542,0.534699706910958,frozen
28,frozen pizza,frozen produce,0.020896253367072074,0.178335074886799,0.534699706910958,frozen
21,frozen produce,frozen meals,0.03625554376513482,0.10870451949747104,0.5374972696206852,frozen
4,oral hygiene,soap,0.011509851226377162,0.06500141924496168,0.38239746815427483,personal care
5,soap,oral hygiene,0.011509851226377162,0.06771141336487285,0.38239746815427483,personal care
0,oral hygiene,body lotions soap,0.013721351025331724,0.07749077490774907,0.7030353203668834,personal care
1,body lotions soap,oral hygiene,0.013721351025331724,0.12448700410396717,0.7030353203668835,personal care
3,hair care,oral hygiene,0.010102533172496984,0.1335548172757475,0.7542454284752405,personal care
40,soy lactosefree,milk,0.061012433392539964,0.24483977309851207,0.6798058181664636,dairy eggs
41,milk,soy lactosefree,0.061012433392539964,0.16940306174869002,0.6798058181664636,dairy eggs
160,milk,soy lactosefree,0.012751628182356424,0.18024898001883044,0.7233299331812054,dairy eggs
161,soy lactosefree,milk,0.012751628182356424,0.051171631374179564,0.7233299331812055,dairy eggs
215,soy lactosefree,milk,0.021292184724689165,0.08544444774434974,0.7384708826414569,dairy eggs
18,paper goods,food storage,0.025021161334010496,0.058120330318521436,0.49087330739420376,household
19,food storage,paper goods,0.025021161334010496,0.21132399199313698,0.49087330739420376,household
11,dish detergents,food storage,0.010936177416624344,0.05933137398971344,0.5011015529843256,household
10,food storage,dish detergents,0.010936177416624344,0.09236488418644553,0.5011015529843256,household
17,laundry,food storage,0.010089724056204502,0.05939804664141917,0.5016646575791579,household
2,diapers wipes,baby food formula,0.025022914757103575,0.1932059447983015,0.23237535638292023,babies
3,baby food formula,diapers wipes,0.025022914757103575,0.030095910042994157,0.23237535638292023,babies
1,baby food formula,baby accessories,0.010907424381301559,0.013118730018741044,0.287400290169608,babies
0,baby accessories,baby food formula,0.010907424381301559,0.23895582329317272,0.28740029016960805,babies
5,poultry counter,hot dogs bacon sausage,0.032027181329545774,0.14751154438173422,0.3145680617718809,meat seafood
4,hot dogs bacon sausage,poultry counter,0.032027181329545774,0.06829789761254307,0.31456806177188096,meat seafood
10,packaged poultry,poultry counter,0.013841312278942825,0.06862745098039216,0.31608592641777083,meat seafood
11,poultry counter,packaged poultry,0.013841312278942825,0.0637506413545408,0.31608592641777083,meat seafood
3,packaged poultry,hot dogs bacon sausage,0.029910602389506224,0.14830157415078707,0.3162527986122052,meat seafood
11,grains rice dried goods,pasta sauce,0.02548471990976959,0.1180788851561528,0.3508635114462829,dry goods pasta
10,pasta sauce,grains rice dried goods,0.02548471990976959,0.07572614107883817,0.3508635114462829,dry goods pasta
9,grains rice dried goods,instant foods,0.02177882807884419,0.10090829911658579,0.3613446718437755,dry goods pasta
8,instant foods,grains rice dried goods,0.02177882807884419,0.07798826810270218,0.3613446718437755,dry goods pasta
0,grains rice dried goods,dry pasta,0.0332993179010688,0.1542864252830658,0.41005766217192235,dry goods pasta
0,dog food care,cat food care,0.023110386079390973,0.051829268292682924,0.08979182702802063,pets
1,cat food care,dog food care,0.023110386079390973,0.040037682524729154,0.08979182702802063,pets
4,hot cereal pancake mixes,cereal,0.04914523379919875,0.1784564131038312,0.3152196549309732,breakfast
5,cereal,hot cereal pancake mixes,0.04914523379919875,0.08680855661192739,0.3152196549309732,breakfast
2,granola,cereal,0.031835835958286186,0.18490230905861457,0.32660547773917664,breakfast
3,cereal,granola,0.031835835958286186,0.05623379429559205,0.32660547773917664,breakfast
6,granola,hot cereal pancake mixes,0.015657971191779564,0.09094138543516873,0.33022680314764935,breakfast
0,canned fruit applesauce,canned jarred vegetables,0.012542894332031712,0.10968543046357615,0.32235066519949995,canned goods
1,canned jarred vegetables,canned fruit applesauce,0.012542894332031712,0.03686187230491028,0.32235066519949995,canned goods
4,canned fruit applesauce,soup broth bouillon,0.016826411075612353,0.14714403973509932,0.37291257716107606,canned goods
5,soup broth bouillon,canned fruit applesauce,0.016826411075612353,0.042643795357764046,0.37291257716107606,canned goods
12,canned meals beans,canned meat seafood,0.0116435924742634,0.03529158596944265,0.3860331258448872,canned goods
13,fresh vegetables,packaged produce,0.030184542787057275,0.05081465478440904,0.6104490883458961,produce
12,packaged produce,fresh vegetables,0.030184542787057275,0.3626144210695359,0.6104490883458961,produce
34,packaged produce,fresh fruits,0.02285229224733145,0.2745302713987474,0.6467013713122055,produce
31,fresh fruits,packaged produce,0.02285229224733145,0.053832346643154054,0.6467013713122055,produce
55,packaged vegetables fruits,packaged produce,0.017465059854424415,0.05570122146191725,0.6691526294027482,produce
0,latino foods,asian foods,0.02500362371358168,0.08108108108108107,0.12909724864490613,international
1,asian foods,latino foods,0.02500362371358168,0.039810754673436415,0.12909724864490613,international
12,lunch meat,tofu meat alternatives,0.012642066266195032,0.02906920781595919,0.21132677142773615,deli
13,tofu meat alternatives,lunch meat,0.012642066266195032,0.09190505173463177,0.21132677142773618,deli
0,lunch meat,fresh dips tapenades,0.07047324026205078,0.1620463952257195,0.39418006337249634,deli
1,fresh dips tapenades,lunch meat,0.07047324026205078,0.17142711674558322,0.3941800633724964,deli
10,lunch meat,prepared soups salads,0.014274650982690417,0.03282317836172875,0.4074286808491334,deli
11,red wines,spirits,0.03403191693905018,0.11434108527131782,0.4092828523717302,alcohol
10,spirits,red wines,0.03403191693905018,0.12181693048864417,0.40928285237173023,alcohol
18,spirits,white wines,0.03999230917131321,0.14315209910529939,0.48598829467797783,alcohol
19,white wines,spirits,0.03999230917131321,0.13577023498694518,0.4859882946779779,alcohol
2,beers coolers,specialty wines champagnes,0.019227071716977504,0.05385029617662897,0.49746960997273043,alcohol
2,bread,buns rolls,0.031747482316816844,0.053000945900588896,0.4516885908191465,bakery
3,buns rolls,bread,0.031747482316816844,0.2705607476635514,0.4516885908191465,bakery
11,buns rolls,tortillas flat bread,0.011587739659678686,0.09875389408099688,0.4785335051681501,bakery
10,tortillas flat bread,buns rolls,0.011587739659678686,0.056150916659286156,0.4785335051681501,bakery
5,tortillas flat bread,bread,0.05987608063897063,0.2901425914445133,0.484379568721315,bakery
0,bulk dried fruits vegetables,bulk grains rice dried goods,0.011544011544011544,0.022792022792022793,0.045128205128205125,bulk
1,bulk grains rice dried goods,bulk dried fruits vegetables,0.011544011544011544,0.022857142857142857,0.04512820512820513,bulk
